MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MFOMA,Fisheries Department ,Boat Builder 3,48007246,PSS 2.1,1015000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Handyman/Driver Santo ,48007251,PSS 2.1,1015000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Principal Fisheries Officer International,48007255,PST 2.8,2312000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Senior Authorised Verification Officer Santo ,48007263,PSS 4.5,1662000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Authorization Officer Certification Santo ,48007267,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Authorization Officer Verification Officer Santo,48007268,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Principal Authorized Verification Officer Vila ,48007271,PSS 5.2,2054000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Authorised Officer Verification Vila ,48007273,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Seafood Data Entry Clerk Vila ,48007277,PSS 2.1,1015000,Vacant ,,,,,,,,,,
MOCCA,NDMO,Clerical Officer ,17000736,PSS 3.1,1209000,Unknown Status,,,,,,,,,,
MOCCA,NDMO,Infornmation Management and Data Officer ,17006982,PSS 4.9,1924000,Unknown Status,,,,,,,,,,
MOCCA,Energy ,Infornmation and Communications Officer ,,PSS 3.1,1209000,Unknown Status,,,,,,,,,,
MOCCA,Energy ,Driver Messenger ,,PSS 1.4,783000,Unknown Status,,,,,,,,,,
MOCCA,Energy ,"Management Administration, Finance & Procurement ",,PSS 5.8,2447000,Unknown Status,,,,,,,,,,
MOCCA,Energy ,Sanma Provincial Energy Officer ,,PST 2.4,1917000,Unknown Status,,,,,,,,,,
MOCCA,Environment ,"Senior Finance, Administration and Support Officer ",640006934,PSS 4.9,1924000,Unknown Status,,,,,,,,,,
MOCCA,Environment ,Principal Education & Extension Officer ,640005471,PSS 5.5,2250000,Unknown Status,,,,,,,,,,
